"Autor","Titulo","Cantidad","No. Dewey","Fecha","ISBN","tema","Info de publicación","Notas"
"Mandino, Og","El Vendedor más Grande Del Mundo, Vol II","1","813 Man Vol II",,,"dinero,mayordomia",,
"Mandino, Og","Mision: Exito","1","813 Man","1986",,"dinero,mayordomia",,
"Manley, G. T. Robinson; Stibbs;","Nuevo Auxiliar Bíblico",3,"220.7 Man",1977,,"comentario biblico","Casa Bautista de Publicaciones (1977), Paperback",
"Marin, Emilio","Gramatica Espanola: Primer Libro","1","465 Mar Vol I","1973","[]","gramatica,idioma","Editorial Progreso SA, Mexico (1973), Paperback",
"Marin, Emilio","Gramatica Espanola: Tercer Libro Para Ensenanza Secundaria O Comercial","1","465 Mar Vol III","1979","[]","gramatica,idioma","Editoral Prog (1979), Paperback",
"Marin, Manuel Gutierrez","Historia de la reforma en Espana","1","271.46 Mar","1975","[8440095015]","reforma","Producciones Editoriales del Nordeste (1975), Unknown Binding, 272 pages",
"Mariotti, Federico A. P.","El Pastor como Lider","1","253 Mar",,,"Officio Pastoral","Casa Bautista de Publicaciones",
"Marshall, Catherine","Aventuras en la Oración","1","Fic Mar",,,"Ficción","Editorial Betania",
"Martin Andres, Juan Jose","La Educación Física en la Enseñanza","1","796 Mar",,,"Educación Física","Doncel",
"Martin, Alfred","Isaías: Salvación del Señor","1","224.1   Mar",,,"Isaías","Publicaciones Portavoz  Evangélico",
"Martin, Walter","La Nueva Era","1","290 Mar",,,"Sectas","Editorial Betania",
"Martin, William C.","Fundamentos para el Educador Evangélico","2","268.4 Mar","1988","[082971409X]","ensenanza","Vida (1988), Edition: Spanish, Paperback, 114 pages",
"Martinez, Jose M.","Cristo, el Incomparable","1","227.7 Mar",,,"Colosenses","CLIE",
"Martinez, Jose M.","Hermenéutica Bíblica","1","220.6 Mar",,,"Hermenéutica","Clie",
"Martínez, Jose M.","Hermenéutica Bíblica (Cómo Interpretar las Sagradas Escrituras)","1","220.6 Mar","1985",8472288331,,"Libros CLIE (1985), Hardcover, 586 pages",
"Marvs, Frank","Catecismo sobre la Vida de Cristo","1","268.431 Mar",,,"Lecciones sobre la Vida de Cristo","Casa Bautista de Publicaciones",
"Mason, Roy","La Iglesia que Jesús Edificó","1","262 Mas",,,"La Iglesia","The Challenge Press",
"Maston, T. B.","Ética de la Vida Cristiana","2","248 Mas",,,"Vida  Cristiana","Casa Bautista de Publicaciones",
"McBeth, Leon","Hombres Claves de las Misiones","1","298.2 McB",,,"Biografía","Casa Bautista de Publicaciones",
"McClain, Alva J.","La Grandeza del Reino, parte 4","1","266.1 McC",,,"evangelios","Editorial Cordillera",
"McClain, Alva J.","La Grandeza del Rieno parte cinco; el Reino Mediato en el Libro de los hechos, las epistolas y el Apocalipsis","2","200 McC v. 5","1997",1890710040,"Biblia, Nuevo Testamento","Editorial Cordillera",
"McConnell, Cecilio","Jesús el Verdadero Revolucionario","1","232 McC",,,"Jesús","Casa Bautista de Publicaciones",
"McConnell, Cecilio","Objetos Que Ensenan de Dios","1","268.6 McC","1986","[031144007X]","ensenanza","Casa Bautista de Publicaciones (1986), Paperback, 112 pages",
"McDonald, W.","El Wesley del Pueblo","1","298.1 McD",,,"Biografía","CUPSA",
"McDowell, Josh","Evidencia que Exige un Veredicto","1","239 McD","1982",829713700,"apologia","Vida (1982), Edition: Spanish, Paperback, 382 pages",
"McDowell, Josh","Más que un carpintero","2","694 McD","1997",789903563,"apologia","Spanish House (1997), Paperback",
"McDowell, Josh","Razones ¿Tiene Sentido la Fe Cristiana para el Hombre de Hoy?","1","239 McD",,,"Apología","Editorial Vida",
"McKibben, Jorge Fitch","Lexico Griego-Espanol","1","220.33 McK",,,"referencia, griego","Casa Bautista de Publicaciones",
"McMillen, S. I.","Ninguna Enfermedad","1","610.2 McM",,,"Enfermedades","Tipografía Unión",
"Mehl, Roger","Imágenes del Hombre","1","261 Meh",,,"Marxismo, Existencialismo y Cristianismo","Casa Bautista de Publicaciones",
"Meier, Pablo D.","Tú Puedes Evitar el Divorcio","1","269.3 Mei",,,"Divorcio","Subcomisión Literatura Cristiana",
"Mendoza de Mann, Lloyd","El discipulado (Transferencia de vida)","1","268  Men",,,"Discipulado","Editorial Clie",
"Mesaies, William W.","Filipenses, la Epístola del Gozo","1","227.6 Men",,,"Filipenses","Editorial Vida",
"Meyer, F. B.","Cinco Requisitos Esenciales de la Vida Cristiana","1","248 Mey",,,"Vida Cristiana","CLIE",
"Meyer, F. B.","Cristo En Isaías",1,"291 Mey",2008,8472286762,"isaias","Clie (2008), Paperback, 240 pages",
"Meyer, F. B.","José el Amado","1","257   Mey",,,"Personajes de la Biblia","Casa Bautista de Publicaciones",
"Meyer, F. B.","Joyas de los Salmos, Tomo I","1","223.2  Mey  Vol. 1",,,"Salmos","Casa Bautista de Publicaciones",
"Meyer, F. B.","Pablo, Siervo de Jesucristo",2,"257 Mey",,,"Pablo","Casa Bautista de Publicaciones",
"Miles, A. R.","Introducción Popular al Estudio de las Sagradas Escrituras",2,"220.61 Mil",,,"Método de Estudio Bíblico","Editorial Caribe",
"Miles, Herbert","Felicidad Sexual: Antes del Matrimonio","1","265.3 Mil","1974",,"Pureza","Logoi",
"Miles, Herbert","Felicidad Sexual: Para el Joven Adolescente","1","265.3 Mil","1973",,"Pureza","Logoi",
"Miller, Basil","Charles Finney: El hombre que originó un avivamiento que cambió el curso de la historia",1,"248 Mil",2002,"[9879038525]","biografía","Vida (2002), Paperback, 145 pages",
"Milton, John","El Paraíso Perdido","1","860   Mil",,,"Literatura en Español","Editorial Porrúa",
"Mistral, Gabriela","Lecturas Para Mujeres (""Sepan cuantos--"")","1","265.7 Mis","1998",9684325371,"mujeres, poesia","Editorial Porrua (1998), Edition: 7. ed, Paperback, 267 pages",
"Mistral, Gabriela","Tres poetisas",1,"800 Mis",1998,"[9681503651]","poesia","MÃ©xico : Editores Mexicanos Unidos, 1998.",
"Mitchell, John G.","Descubriendo La Palabra de Dios","1","248.7 Mit",,,"Discipulado","Editorial Unilit",
"Molina, Flavio Molina","Frases latinas usadas en nuestro idioma","1","413 Mol","1992","[]","idioma",,
"Money, Netta Kemp de","Geografía Histórica del Mundo Bíblico, La","1","220.9 Mon","1969",829705589,"geografia","Vida (1969), Edition: Spanish, Paperback, 288 pages",
"Monray, Juan A.","Obras Completas","1","290 Mon",,,"herejia","CLIE",
"Montano, Walter Manuel","Conversaciones con los Adventistas","1","290 Mon",,,"Adventistas","Librería ""El Inca""",
"Monterroso, W. R.","Avance Evangélico En La América Latina","8","266.28 Rea","1970",,"misiones, Latinoamérica","Casa Bautista De Publicaciones (1970), Paperback",
"Moody, Dwight L.","Doscientas anecdotas e ilustraciones: 200 Anecodotes and Illustrations","1","252.2 Moo","1982",825414911,"sermones","Editorial Portavoz (1982), Paperback, 128 pages",
"Moody, Dwight L.","El Camino Hacia Dios",2,"248.2 Moo",,,"vida cristiana",,
"Moore, Hight C.","Desde Bethlehem hasta el Monte de los Olivos","1","232.6 Moo",,,"Vida de Cristo","Casa Bautista de Publicaciones",
"Moore, Hight C.","Desde Pentecostes hasta Patmos","1","281 Moo",,,"Historia del Primer Siglo","Casa Bautista de Publicaciones",
"Morente, Manuel Garcia","Lecciones Preliminares De Filosofia/ Preliminary lessons of Philosophy",1,"370 Gar",2000,8474905826,"filosofia",,
"Morgan, G. Campbell","El Discipulado Cristiano","1","248.7 Mor",,,"Discipulado","Clie",
"Morgan, G. Campbell","El Misterio de la predicación","1","253 Mor",,,"Officio Pastoral","CLie",
"Morgan, G. Campbell","Las Cartas de Nuestro Señor","1","228  Mor",,,"Apocalipsis","Biblioteca Evangélica Argentina",
"Morgan, G. Campbell","Los grandes capítulos de la Biblia, tomo I",1,"220.61 Mor Vol I",1944,,"estudio biblico","New York, Sociedad americana de tratados [1944]",
"Morgan, G. Campbell","Los Profetas Menores","1","224.9 Mor",,,"Profetas Menores","CLIE",
"Morris, H.M.","Geologia ¿Actualismo o Diluviamismo?","1","213 Mor",,,"Ciencia","Clie",
"Moses, Carlos","El Mecánico Feliz","1","248 Mos",,,"Vida Cristiana","Ediciones las Américas",
"Mullins, E. Y.","Axomas de Religión","1","286  Mul",,,"Bautista","Casa Bautista de Publicaciones",
"Mullins, Edgar Yough","Evidencias Cristianas","1","239 Mul",,,"Apología","Casa Bautista de Publicaciones",
"Mullins, Edgar Yough","La Religión Cristiana en su Expresión Doctrinal","1","230  Mul",,,"Teología","Casa Bautista de Publicaciones",
"Muniz Aguilar, Margaret","Femenino Plural","1","290 Mun",,,"herejia","CLIE",
"Murray, Andrew","Consagración Total","1","234.8 Mur",,,"Consagración","CLIE",
"Murray, Andrew","El Ministerio De La Oración Intercesora","1","264.1 Mur","1992",881132071,"oracion","Grupo Nelson (1992), Paperback, 176 pages",
"Murray, Andrew","Entrega absoluta","1","248.4 Mur","2007",9875571520,"espiritu santo","Peniel (2007), Paperback, 192 pages",
"Murray, Andrew","La Nueva Vida Del Cristiano","1","248 Mur","1989",881132217,"vida cristiana","Editorial Betania (1989), Paperback",
"Murray, Ian","El obstáculo al evangelismo","1","248.5  Mur",,,"Evangelismo","ACEIR",
"N/A","Dios Habla Hoy La Biblia Version Popular","1","220.4 Dio","1983",,"biblia","Socledad Biblica Americans (1983), Paperback",
"N/A","El Tesoro de la Juventud (Enciclopedia de Conocimientos, Tomo 1)","1","403 Tes Vol I","1900","[]","referencia","The Colonial Press Inc. (1900), Hardcover",
"N/A","Enciclopedia Ilustrada Cumbre (14 Volume Set)",14,"403 Cum",1991,"[]","referencia","Promotora Editorial (1991), Hardcover",
"Nahuatlato, Miguel","La Felicidad en tu Vid","1","238 Nah",,,"Catecismo","Editorial enseñanza",
"Narramore, B","Psicología de la Culpa","1","269.1 Nar",,,"Culpa","Logoi",
"Narramore, Bruce","Ayúdame! Soy Padre","1","265.6 Nar",,,"Paternidad","CLIE",
"Narramore, Bruce","Porqué se comportan Mal los Niños?","1","265.9 Nar",,,"Crianza de Niños","CLIE",
"Narramore, Clyde M.","Cómo Tener Éxito en las Relaciones Familiares","1","265.8 Nar",,,"Familia","CLIE",
"Neal, Charles L.","Evangelismo Personal","1","248.5 Nea",,,"Evangelismo","Casa Bautista de Publicaciones",
"Neal, Charles L.","Parabolas del Evangelio","2","252.1 Nel",,,"Sermones","Casa Bautista de Publicaciones",
"Nee, Watchman","El Hombre Espiritual: Analisis del Espiritu, Vol II","1","234.81 Nee Vol II",,,"espiritualidad","Editorial Clie (1993), Paperback",
"Nee, Watchman","El Hombre Espiritual: Analisis del Espiritu, Vol III","1","234.81 Nee Vol III",,,"espiritualidad","Editorial Clie (1993), Paperback",
"Nee, Watchman","El Testimonio de Dios","1","231.74 Nee",,,"Revelación de Dios","Editorial Vida",
"Nee, Watchman","Iglesia gloriosa, La",1,"262 Nee",1996,870839713,"iglesia","Living Stream Ministry (1996), Paperback, 161 pages",
"Nee, Watchman","La iglesia normal",1,"262 Nee",2005,"847228798X","iglesia","Editorial Clie (2005), Paperback, 208 pages",
"Nee, Watchman","Vida cristiana normal, La: Normal Christian Life, the","2","248 Nee","1992",825415098,"vida cristiana","Editorial Portavoz (1992), Paperback, 128 pages",
"Neighbour, Ralph W.","Testigo, Asciende al Tribunal","1","248.4 Nei",,,"Evangelismo","Convención General Bautista",
"Nelson, Ed","Creciendo en la Gracia","1","248.7 Nel",,,"Discipulado","Ediciones Apologia",
"Nelson, Grupo","Diccionario Ilustrado De La Biblia",4,"220.3 Nel",2001,899226507,"referencia,diccionario biblico","Grupo Nelson (2001), Hardcover, 754 pages",
"Nelson, Samuel F.","Siembra, Cultivo y Cosecha","2","268.3 Nel",,,"Obrero Cristiano","Sociedades Biblicas Unidas",
"Nelson, W. M.","Diccionario De Historia De La Iglesia",1,"270 Nel",1996,"[0899221947]","historia de la iglesia","Editores Caribe/Betania (1996), Paperback",
"Nelson, Wilton M.","El Cristiano y Las Sectas Falsas","1","290   Nel",,,"Sectas","Ediciones del Las Americas",
"Nelson, Wilton M.","Testigos de Jehová: Quiénes Son y lo que Creen","1","291     Nel",,,"Testigos de Jehová","Casa Bautista de Publicaciones",
"Neruda, Pablo","Veinte Poemas De Amor Y Una Canción Desesperada Cien Sonetos De Amor (Ave Fénix) (Ave Fénix)",1,"468 Ner",1996,"[8401425220]","poesía","Plaza & Janes Editores, S.A. (1994), Paperback, 158 pages",
"Nervo, A.","La amada inmovil",1,"800 Ner",1927,"[]","poesia","Ediciones de la Biblioteca Nueva (1927), Paperback",
"NERVO, AMADO","La amada inmovil","1","800 Ner","2000","[]","poesia","ESPASA-CALPE (1972), Paperback",
"Nethercutt, G. E.","Primero Pentecostes Ahora Bautista","1","298.1 Net",,,"Pentecoste/Bautista Biografía","The Challenge Press",
"Newell, William R.","Romanos: Versiculo por versiculo",2,"248 New",1984,825415071,"romanos,comentario biblico","Editorial Portavoz (1984), Paperback, 464 pages",
"Newman, Barbara","Psicología Infantil Volúmen 1","1","258 New Vol. 1",,,"Psicología Infantil","Ediciones Ciencia y Tecnología",
"Newman, Barbara","Psicología Infantil Volúmen 2","1","258 New Vol. 2",,,"Psicología Infantil","Ediciones Ciencia y Tecnología",
"Nieto, Luis","Nueva Visión de Un Exsacerdote","1","298.1 Nie",,,"Catolicismo Biografía","Casa Bautista de Publicaciones",
"Nietzsche, Friedrich Wilhelm","El anticristo","2","468 Nie","1998",9681508246,"filosofia,filosofia secular","Editores Mexicanos Unidos, S.A. (1998), Edition: Spanish Language, Paperback, 124 pages",
"Nietzsche, Friedrich Wilhelm","Mas alla del bien y del mal.","2","261 Nie","1983",,"filosofia,filosofia secular",,
"Noble, John","Encontré a Dios en Rusia","1","298.57 Nob",,,"Biografía","Editorial Vida",
"Nosty, Maria","La Buena Letra","1","700 Nos","1990",,"letra cursiva, educacion","Fernandez editores",
"Nuno, Daniel","Enciclopedia de Poesia Evangelica Encyclopedia of Evangelical Poetry","2","800 Nun","1983","[0785950540]","poesia","French & European Pubns (1983), Paperback, 365 pages",
"Okakura, Kakuzo","El libro del te",1,"294.3 Oka",1943,"[]","filosofia budista,oriental","MÃ©xico, Ediciones Ibero Americanas, 1943.",
"Olson, Genevieve P.","La Vida de Cristo Jesús en el Lenguaje de la Biblia","1","232.6 Ols",,,"Vida de Cristo","Genevieve P. Olson",
"Omartian, Stormie","Secretos de la Oración","2","242.2  Oma                                                                       ",,,"Devocional","Expolit",
"Orr, William","Siete Reglas del Hogar Feliz","1","265.8 Orr",,,"Familia","Editorial Caribe",
"Orr, William W.","Qué les Enseñaremos a los Pequeños?","2","268.4 Orr",,,"Educación Cristiana","Ediciones las Américas",
"Ortega, Josei","Kant, Hegel, Dilthey (ColeccioÌn el arquero)","1","261 Ort","1961",,"filosofia,filosofia secular","Revista de Occidente (1961), Edition: 2. ed, Unknown Binding, 218 pages",
"Osborn, T. L.","Jesucristo el Sanador / Jesus Christ the Healer","1","288.1 Osb","2004","[9589149235]","Cristo,Sanidad,","Christian Literature Crusade (2004), Paperback, 248 pages",
"Oscuro, David L.","Un Sumario Visual de la Biblia","1","220.9 Daw",,,"Sumario de la Biblia","ETS Ministry",
"Otis, Jorge","El Fantasma de Agar","1","298.56 Oti",,,"Biografía","Editorial Vida",
"Overholtzer, J. I.","El Guía del Maestro","1","268.432    Ove",,,"Enseñanza","La Alianza Pro-Evangelización del Niño",
"Overholtzer, Ruth P.","El Libro sin Palabras Visualizado","1","243 Ove",,,"Escritos Evangelísticos para testificar a Niños","Centro Cultural Pro La Niñez, A. C.",
"Pacheco, Elizabeth Condell de","El apostol de la frontera: Guillermo Mac Donald, su vida y sus obras",1,"298.4 Pac",1941,"[]","biografia","Libreria ""El Lucero,"" (1941), Unknown Binding, 100 pages",
"Packer, J. I.","La Vida Diaria de los Tiempos Bíblicos","1","220.9 Pac",,,"Tiempos Bíblicos","Editorial Vida",
"Packer, J. I.","Mundo del Antiguo Testamento, El","2","220.9 Pac","1985",829714162,"referencia,antiguo testamento","Vida (1985), Edition: Spanish, Paperback, 192 pages",
"Packer, J. I.","Mundo del Nuevo Testamento, El","1","225 Pac","1985",829714189,"referencia,nuevo testamento","Vida (1985), Edition: Spanish, Paperback, 192 pages",
"Palau, Luis","Sexo y Juventud","1","265.3 Pal","1987",842365222,"pureza,sexo,relaciones,novios,","Editorial Unilit (1987), Hardcover",
"Palms, Roger C.","Dios Guía Tu Futuro","1","269.4 Pal",,,"Dirección Divina","Editorial Vida",
"Pape, Dionisio","Uno y Uno son tres","1","298.4 Pap",,,"Biografía","Ediciones Certeza",
"Parker, Jorge G.","Lexico - Concordancia del Nuevo Testamento en Griego y Espanol","2","220.33 Par","1997",311420656,"referencia,griego","Casa Bautista de Publicaciones (1997), Edition: 0, Paperback, 944 pages",
"Parks, Tomas D.","Intriga en la Corte","1","Fic  Par",,,"Ficción","Casa Bautista de Publicaciones",
"Paterson, J. H.","Nuevo Atlas Bíblico",2,"220.9 Pat",,,"Atlas Bíblico","Editorial Unilit",
"Paterson, Katherine","Un puente hasta Terabithia","1","fic Pat","1983","[842043633X]","ficcion,ninos","Alfaguara Ediciones, S.A. (Spain) (1983), Paperback, 152 pages",
"Patterson, F. W.","Manual de Finanzas para la Iglesia","1","262.5 Pat",,,"Organización de Iglesia","Casa Bautista de Publicaciones",
"Patterson, F. W.","Sermones Selectos","1","252  Pat",,,"Sermones","Casa Bautista de Publicaciones",
"Patterson, Frank W.","Manual Para la Escuela Dominical / Sunday School Manual","1","268.43 Pat","2000","[0311114105]","escuela dominical","Casa Bautista de Publicaciones (2000), Paperback, 96 pages",
"Patterson, Paulina G. de","Juegos Digitales","1","268.9 Pat","1992","[0311114210]","juegos,ninos,","Casa Bautista de Publicaciones (1992), Edition: Reissue, Pamphlet, 32 pages","donado por Tap Y Katie Hornor, 2008"
"Paxson, Ruth","La Vida en el Plano Superior","2","232  Pax",,,"Vida Cristiana","Editorial Moody",
"Paxson, Ruth","Llamados a Ser Santos","1","234.8 Pax",,,"Santificación","Editorial Moody",
"Pearl, Debi","Creada Para Ser Su Ayuda Idónea: Descubre Como Puede Dios Hacer Glorioso Tu Matrimonio","1","306 Pea","2006","[1892112876]","esposa,mujeres,matrimonio","No Greater Joy Ministries (2006), Edition: 1st, Paperback, 302 pages",
"Pearl, Michael","Para Entrenar a un Nino","2","649 Pea","2002","[1892112175]","ninos,familia,padres,","No Greater Joy Ministries (2002), Perfect Paperback, 102 pages",
"Pearlman, Myer","A traves de la Biblia","1","220 Pea","1995","[0829705120]","estudio bíblico,","Vida (1995), Edition: Spanish, Paperback, 352 pages",
"Pearlman, Myer","A Través de la Biblia",1,"273 Pea",1995,829705120,"Biblia","Editorial Vida",
"Pearlman, Myer","Enseñando con Éxito la Escuela Dominical","1","268.43 Pea",,,"Escuela Dominical","Casa Evangelica de Publicaciones","curso de escritura con letra cursiva"
"Pearlman, Myer","Teologia Biblica y Sistemática",1,"231 Pea",1992,"[0829713727]","doctrina,teologia,","Vida (1992), Edition: Spanish, Paperback, 308 pages",
"Pearlman, Myer","Teología Biblica y Sistemática","1","230 Pea","1958",,"doctrina,teologia,",,
"Penali, Davis","Basquetbol","1","796 Pen",,,"Basquetbol","Anaya Editores, S.A.","donado por Tap Y Katie Hornor, 2008"
"Pendleton, J. M.","Compendio de Teología Cristiana","1","230   Pen",,,"Teología","Casa Bautista de Publicaciones",
"Pentecost, J. Dwight","Eventos del Porvenir","1","236 Pen","1984",829714103,"escatologia","Vida (1984), Edition: Spanish, Hardcover, 472 pages",
"Petter, Hugo M","Concordancia Greco-Española del Nuevo Testamento","1","220.33 Pet","1999",8472282635,"referencia, griego","Editorial Clie (1999), Paperback",
"Pfeiffer, Charles","Hebreos: Hebrews (Comentario bIblico P)","1","220 Pfe","1981",825415640,"hebreos","Editorial Portavoz (1981), Paperback, 128 pages",
"Pfeiffer, Charles F.","Diccionario Biblico Arqueologico",1,"220.3 Pfe",,,"Referencia","Editorial Mundo Hispano",
"Pfeiffer, Charles F.","El Comentario Biblico Moody: Antiguo Testamento",1,"220.7 Pfe",2003,311030696,"comentario biblico","Casa Bautista de Publicaciones (2003), Hardcover, 912 pages",
"Pfeil, Elizabeth","Cómo Educar al Niño en la Ciudad","1","268.4 Pfe",,,"Pedagogía","Ediciones Paulina",
"Phillips, John Albert","Análisis del romanismo; un estudio desapasionado de las doctrinas y las prácticas romanistas","1","282 Phi","1921","[]","catolicismo","Nashville, Tenn., Smith y Lamar, 1921.",
"Pierson, A. T.","Los Hechos del Espíritu Santo","1","231.3 Pie",,,"Espíritu Santo","Casa Bautista de Publicaciones",
"Pieters, Alberto","Hechos y Misterios de la Fe Cristiana","2","230    Pie",,,"Teología Sistemática","T.E.L.L.",
"Pink, Arthur W.","Los Atributos de Dios / Attributes of God",2,"231.4 Pin",1964,851515401,"atributos de Dios","Banner of Truth (1964), Paperback, 132 pages",
"Pinson, William M.","Práctiquemos el Evangelio","1","262.4 Pin",,,"Organización de Iglesia","Casa Bautista de Publicaciones",
"Pirenne, Jacquies","Historia Universal, Tomo I","1","909 Pir  Vol. 1",,,"Historia Universal","Grolier International, W. M. Jackson, Inc.",
"Pirenne, Jacquies","Historia Universal, Tomo II","1","909 Pir  Vol. 2",,,"Historia Universal","Grolier International, W. M. Jackson, Inc.",
"Pirenne, Jacquies","Historia Universal, Tomo III","1","909 Pir  Vol. 3",,,"Historia Universal","Grolier International, W. M. Jackson, Inc.",
"Pirenne, Jacquies","Historia Universal, Tomo IV","1","909 Pir   Vol. 4",,,"Historia Universal","Grolier International, W. M. Jackson, Inc.",
"Pirenne, Jacquies","Historia Universal, Tomo IX","1","909 Pir  Vol. 9",,,"Historia Universal","Grolier International, W. M. Jackson, Inc.",
"Pirenne, Jacquies","Historia Universal, Tomo V","1","909 Pir  Vol. 5",,,"Historia Universal","Grolier International, W. M. Jackson, Inc.",
"Pirenne, Jacquies","Historia Universal, Tomo VI","1","909 Pir  Vol. 6",,,"Historia Universal","Grolier International, W. M. Jackson, Inc.",
"Pirenne, Jacquies","Historia Universal, Tomo VII","1","909 Pir  Vol. 7",,,"Historia Universal","Grolier International, W. M. Jackson, Inc.",
"Pirenne, Jacquies","Historia Universal, Tomo VIII","1","909 Pir Vol. 8",,,"Historia Universal","Grolier International, W. M. Jackson, Inc.",
"Pirenne, Jacquies","Historia Universal, Tomo X","1","909 Pir Vol. 10",,,"Historia Universal","Grolier International, W. M. Jackson, Inc.",
"Podesta, Jeronimo Jose","Hombre, Iglesia y Liberación","1","298.1 Pod",,,"Catolicismo Biografía","Ediciones Auca",
"Poe, J. T.","Concordancia Tematica de la Biblia","1","220.31  Poe","2003",311420435,"referencia,concordancia bíblica","Casa Bautista de Publicaciones (2003), Paperback, 200 pages",
"Pohl, Alfred H.","17 Razones por los cuales Yo Abandone el Movimiento de las Lenguas","1","289 Poh",,,"Carismáticos","A. H. Polh",
"Porter M., Rafael","La Iglesia Creciendo","1","262  Por",,,"La Iglesia","Seminario Teológico Centroameriacano",
"Prado Flores, Jose H.","Id y Evangelizar a los Bautizados","1","288  Flo",,,"Carismáticos","Publicaciones Kerygma",
"Pratney, Winkie","El Joven Y Su Dios","1","265.91 Pra","1982",,"jovenes","Editorial Betania",
"Pratney, Winkie","El Joven Y Su Mundo",1,"265.91 Pra",1982,,"jovenes","Editorial Betania",
"Pratney, Winkie","El Joven Y Sus Amigos","3","265.91 Pra","1982",,"jovenes","Editorial Betania",
"Pratney, Winkie","El Joven Y Sus Dilemas","1","265.91 Pra","1982",,"jovenes","Editorial Betania",
"Price, Eugenia","Descubrelo Tu Mismo (Un Libro que Ensena a los jovenes a encontrar sus propias respuestas)",1,"265.91 Pri",1975,,"jovenes","Libros CLIE (1975), Paperback, 160 pages",
"Prod'hom, S.","Pláticas Sencillas/Mateo","1","226.2 Pro",,,"Mateo","Editorial ""Las Buenas Nuevas""",
"Pure, Heliodoro","La Confianza que Fortalece","1","252  Pur",,,"Sermones","Casa Presbiteriana de Publicaciones",
"Quillet, Artistides","Nueva Enciclopedia Autodidactica Quillet vol 1, 2, 3, 4","4","403 Qui","1969","[]","referencia","Artistides Quillet (1969), Hardcover",
"Ramm, Bernard L","Diccionario de teología contemporanea","1","210 Ram","1984",311090648,"teologia contemporanea","Casa Bautista de Publicaciones (1984), Edition: 4a ed, Paperback, 143 pages",
"Ranch, Bill Rice","Lecciones Biblicas para sordos.  ""En el Principio""","1","234   Ran",,,"Salvación","Deaf Literature Ministries",
"Raul, Francisco Guerrero","Guía de Estudio sobre el Estado de Sonora","1","911.72 Agu",,,"Estudio sobre el Estado de Sonora",,
"Rawlinson, George","Los Reyes de Israel y Judá","1","220.9 Raw",,,"Reyes del Antiguo Testamento","Casa Bautista de Publicaciones",
"Ray, Maurice","El Descubrimiento del Amor","1","265.5 Ray",,,"Matrimonio","Ediciones Evangélicas Europeas",
"Redpath, Allan","Viviendo la Vida Cristiana Victoriosa",2,"248 Red",,,"Vida cristiana","Editorial Moody",
"Rene, Oscar","Biografía Benito Juárez","1","920  Cru",,,"Biografía de Benito Juárez","Cruz O.",
"Rene, Oscar","Biografía de Emiliano Zapata","1","921  Cru",,,"Biografía de Emiliano Zapata","Cruz O.",
"Rene, Oscar","Biografía de Francisco Villa","1","922  Cru",,,"Biografía de Francisco Villa","Cruz O.",
"Rene, Oscar","Biografía de José María Morelos","1","922  Cru",,,"Biografía de Jose María Morelos","Cruz O.",
"Rene, Oscar","Biografía Lázaro Cárdenas","1","923  Cru",,,"Biografía de Lázaro Cárdenas","Cruz O.",
"Rene, Oscar","Biografía Miguel Hidalgo","1","924  Cru",,,"Biografía de Miguel Hidalgo","Cruz O.",
"Rene, Oscar","Biografía Porfirio Díaz","1","925  Cru",,,"Biografía de Porfirio Días","Cruz O.",
"Reno, Cora A.","Es un Hecho la Evolucion?",1,"213 Ren",,,"Ciencia","Casa Bautista de Publicaciones",
"Reyes, Graciela","Cómo escribir bien en español manual de redacción",1,"465 Rey",2001,"[8476353278]","Redacción","Madrid Arco Libros D.L.2001",
"Reyes, Jose Antonio","A Solas Con Jesús","1","269.6 Rey",,,"Programas para Retiros Espirituales","Ediciones Alba",
"Rice, John R.","El Don de Lenguas","1","289  Ric",,,"Las Lenguas","Casa Bautista de Publicaciones",
"Rice. John R.","Cómo Grandes Ganadores de Almas Fueron Llenos del Espíritu Santo","3","248.4 Ric",,,"Llenura del Espíritu","La Espada",
"Rice. John R.","Curación y Respuestas a la Oración","7","264.1 Ric","1986",,"Oración y Sanación","La Espada",
"Rice. John R.","El Fuego del Ganador de Almas","1","248.5 Ric",,,"Evangelismo","Editorial Gran Comisión",
"Rice. John R.","El Pecado de No Orar, Capítulo 21 del Libro ""ORACIÓN' Pidiendo y Redibiendo""","1","264.1 Ric","1996",,"Oración",,
"Rice. John R.","Pedid y Recibiréis, Oración","1","264.1 Ric",,,"Oración","Editorial Moody",
"Richardson, Frank H.","Sólo para Muchachos","2","265.3 Ric",,,"Pureza","Casa Bautista de Publicaciones",
"Richardson, Mike","La Educación en el Hogar.. Preguntas y Respuestas","1","268.1 Ric",,,"Educación Familiar Cristiana","El Hogar Educador",
"Ridenour, Fritz","Cómo Ser Cristiano en una Iglesia Ultra-cristiana","1","248  Rid",,,"Vida Cristiana","CLIE",
"Ridenour, Fritz","Di las Cosas Como Son","1","248.5 Rid",,,"Evangelismo","Editorial Vida",
"Ridenour, Fritz","Quien Dice?","1","215 Rid",,,"Ciencia","Editorial Vida",
"Ridenour, Fritz","Si Yo Fuera…","1","268.432  Rid",,,"Enseñanza  Bíblica para Niños","CLIE",
"Ridenour, Fritz","Todo Depende","1","261.9 Rid",,,"Ética Moral","Clie",
